id;titleconvention;amountconvention;description;enddate;startdate;duration;totalprice
1;Checking Account global Steel;67157;Kyrgyz Republic transmit;2019-07-23;2019-07-24;85218;81638
2;Planner Refined;79181;Connecticut Burg;2019-07-24;2019-07-23;78466;62030
3;transmitter cyan;13637;Industrial seamless;2019-07-23;2019-07-23;39224;55481
4;Unbranded array;54744;Spurs Regional;2019-07-24;2019-07-23;52360;86236
5;Data Granite Configuration;49211;Business-focused Canyon Orchestrator;2019-07-23;2019-07-24;32875;20913
6;Illinois robust;53726;Creek;2019-07-23;2019-07-24;40030;13882
7;deposit Chicken best-of-breed;89678;Mission Rand Soap;2019-07-24;2019-07-24;4086;82179
8;B2B;34761;Movies;2019-07-23;2019-07-24;53442;46077
9;cyan innovative;50341;Lempira;2019-07-24;2019-07-24;79941;48114
10;Bulgarian Lev Cambridgeshire;15697;streamline Home SAS;2019-07-24;2019-07-23;59727;18452
