id;title;data;discount;maxoffer;priceoffer
1;array France protocol;41978;81011;25620;86707
2;Senior Avon;50151;62789;79829;19427
3;Handcrafted Cotton Bacon Unbranded Fresh Pants;2761;37558;57886;9398
4;North Dakota Garden;46559;15504;54264;98184
5;generating;86040;3050;25025;3734
6;compressing;36019;53708;12706;32665
7;synthesizing composite;96525;62289;45726;8534
8;Intelligent Granite Shirt Peru deposit;72609;13274;97585;96953
9;card Licensed Cotton Ball;43352;43897;74404;7845
10;Electronics;96264;8087;83598;42831
